data,Libya,Benghazi,Tripoli,Misrata,Aljufra,Ejdabia,Aljfara,Azzawya,Sebha,Alkufra,Murzuq
8. Sending money to family in country of origin,49,55,12,20,80,48,0,43,61,59,46
Other (please specify),1,1,1,1,0,1,0,0,0,1,0
Don't know,1,0,5,4,0,0,50,0,0,0,0
Prefer not to answer,0,0,1,2,0,0,0,0,0,0,0
What was the main source of drinking water you used over the past 30 days?,,,,,,,,,,,
1. Public network (connected to the shelter),43,98,43,21,0,37,0,31,23,69,74
2. Bottled water,40,0,38,70,98,20,0,57,32,18,11
"5. Protected well (e.g., in your house or in the mosque)",7,0,12,5,0,3,50,2,18,9,12
3. Water trucking,6,1,1,2,0,36,50,6,5,0,3
4. Tap accessible to the public  ,3,1,5,1,0,3,0,4,18,0,0
6. Unprotected well,1,0,1,1,0,1,0,0,3,3,0
Other (please specify),0,0,1,0,1,1,0,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,0,0,1,0,0
8. Rainwater,0,0,0,0,0,0,0,1,0,0,0
"7. Surface water (lakes, ponds, rivers, etc.)",0,0,0,0,0,0,0,0,0,0,0
How far is the main source of drinking water from your dwelling?,,,,,,,,,,,
1. Up to 100m,34,100,50,65,4,55,0,51,6,79,23
6. 500m or more,19,0,7,2,47,6,0,0,31,0,3
2. 101-200m,17,0,28,12,13,33,0,28,1,18,18
3. 201-300m,13,0,8,9,13,4,0,20,13,3,49
4. 301-400m,10,0,3,8,12,0,100,1,32,0,8
5. 401-500m,7,0,6,5,10,2,0,0,18,0,0
"In the last month, has there been any time when you did not have a sufficient quantity of drinking water to meet your daily needs?",,,,,,,,,,,
No,65,86,61,60,46,66,50,74,74,87,30
Yes,34,14,39,39,53,34,50,26,25,13,68
Don't know,0,0,1,1,0,0,0,0,1,0,1
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,1
How would you describe the quality of the drinking water from the main source you used during the last 30 days? ,,,,,,,,,,,
1. Water is fine to drink ,87,80,83,83,100,92,0,90,87,69,96
2. Taste is not good ,10,19,16,15,0,3,100,8,13,14,1
3. Smell is not good ,1,1,0,3,0,0,0,5,1,0,1
4. Water is discoloured,1,0,1,3,0,1,50,3,0,1,0
5. Water causes health issues (like diarrhea),1,0,3,4,0,0,0,2,0,0,0
Other (please specify),0,0,0,0,0,0,0,0,0,0,0
Don't know,3,0,1,0,0,4,0,0,0,16,0
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,1
"What methods do you use, if any, to improve the quality of your drinking water?",,,,,,,,,,,
1. No treatment methods used,52,0,66,79,100,33,50,31,36,82,0
2. Boiling,19,0,19,7,0,53,0,56,36,7,83
"3. Disinfection (tablets, iodine, etc.)",3,0,0,0,0,7,0,19,18,0,0
4. Water filters,24,100,6,7,0,7,0,31,5,7,0
Other (please specify),2,0,0,3,0,7,50,0,5,0,0
Don't know,3,0,9,3,0,0,0,0,0,3,17
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,0
"Over the past 7 days, on how many days did you have access to drinking water from the public network?",,,,,,,,,,,
1. Every day (7 days),36,92,53,33,24,27,50,49,11,25,11
3. Rarely (1-3 days),29,0,17,27,54,26,50,15,43,5,75
2. Most days (4-6 days),25,8,20,25,16,18,0,20,36,69,10
4. Not at all (0 days),9,0,9,13,6,30,0,16,5,0,4
Don't know,1,0,1,2,0,0,0,0,5,1,1
What kind of toilet do you have access to inside your shelter or within easy reach?,,,,,,,,,,,
1. Flush toilet (Arabic or Western),48,69,63,54,76,28,100,44,38,22,33
2. Pour toilet (Arabic or Western),47,42,28,40,24,74,0,54,40,68,57
3. Dry pit latrine (without water),6,3,6,8,0,4,0,3,21,8,5
4. No toilet inside shelter or within easy reach,1,0,3,1,0,1,0,0,1,2,4
Other (please specify),0,0,0,0,0,0,0,0,0,0,0
Don't know,0,1,0,1,0,0,0,0,0,0,1
Prefer not to answer,0,0,1,0,0,0,0,0,1,0,1
How far is the nearest accessible toilet from your dwelling?,,,,,,,,,,,
3. 201-300m,39,,20,0,,0,,,100,100,50
1. Up to 100m,22,,40,100,,0,,,0,0,0
2. 101-200m,17,,40,0,,50,,,0,0,0
4. 301-400m,17,,0,0,,50,,,0,0,33
6. 500m or more,6,,0,0,,0,,,0,0,17
How did you most often dispose of trash over the past 30 days?,,,,,,,,,,,
"1. Collected by the municipality, waste management service (private or public), or other authority ",28,45,19,29,45,14,0,16,49,28,2
"2. Put in a public place designated for waste disposal, to be collected later",46,58,54,51,48,66,50,34,46,44,2
3. Left in the road or in a public place not designated for waste disposal,15,7,19,19,1,15,0,47,13,20,5
4. Buried or burned,16,2,6,1,20,4,50,9,1,12,88
Other (please specify),0,0,1,0,0,0,0,0,0,0,0
Don't know,0,0,0,2,0,0,0,0,0,0,1
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,2
How far is the trash disposal point from your dwelling?,,,,,,,,,,,
1. Up to 100m,29,29,47,63,2,14,0,17,1,82,7
2. 101-200m,23,49,24,16,6,40,0,24,18,8,25
3. 201-300m,17,21,10,8,5,18,50,13,27,4,46
6. 500m or more,16,0,9,4,80,12,0,7,13,3,4
4. 301-400m,9,0,6,4,2,8,50,24,23,3,17
5. 401-500m,6,1,3,5,5,8,0,15,17,1,1
How frequently is your trash collected?,,,,,,,,,,,
1. More than once per week,55,66,63,52,71,100,,8,21,54,33
2. Once per week,34,19,17,34,29,0,,50,61,46,33
3. Once every two weeks,7,11,14,4,0,0,,35,7,0,0
Don't know,2,0,0,2,0,0,,0,11,0,0
4. Once per month,2,2,6,4,0,0,,8,0,0,0
5. Less frequently than once per month,1,1,0,4,0,0,,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,,0,0,0,33
"Among these products, are there any that you require but are unable to purchase?",,,,,,,,,,,
1. There are no hygiene products that we require but are unable to purchase,60,92,35,45,37,69,0,79,63,44,85
2. Soap (liquid and bar)                                    ,24,1,26,23,60,21,50,5,19,39,4
"3. Disinfectant - surface cleaner (powder, liquid detergent)",19,4,39,34,12,19,50,13,17,31,2
4. Toothpaste ,12,4,20,20,16,1,50,2,13,25,4
5. Clean toothbrushes     ,8,3,15,15,16,1,50,2,7,12,3
6. Sanitary pads,4,0,12,10,0,1,50,11,1,0,0
7. Baby diapers                                               ,4,0,8,6,5,1,50,11,2,0,0
8. Water container (or Jerry can) ,14,1,7,4,59,13,50,1,17,6,3
9. Shampoo                                                     ,25,5,34,29,59,5,50,8,21,44,3
10. Dishwashing liquid ,19,1,18,17,57,9,50,8,11,33,1
Other (please specify),1,1,3,2,1,0,0,1,0,0,0
Don't know,1,0,2,5,0,1,50,0,1,0,5
Prefer not to answer,1,0,1,2,0,0,0,1,0,0,3
"If there were products in that list that you require but are unable to purchase, what is the main reason why you can't purchase them?",,,,,,,,,,,
1. Too expensive,91,100,93,95,100,100,50,89,76,86,69
2. Not available in the market ,8,0,2,1,27,0,0,20,0,1,8
3. Can't reach the market ,3,0,2,0,0,0,0,3,2,10,15
4. Quality not good,8,0,4,0,0,0,0,54,40,4,4
Other (please specify),1,6,1,1,0,0,0,0,0,1,0
Don't know,1,0,1,0,0,0,50,0,0,1,8
Prefer not to answer,2,0,0,3,0,0,0,3,0,3,15
Have you been ill in the past 15 days?,,,,,,,,,,,
No,78,82,56,56,88,88,50,56,76,94,93
Yes,22,17,43,44,12,12,50,44,24,6,4
Don't know,0,1,1,0,0,0,0,0,0,1,1
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,2
Did you go to a health facility to access the needed health care?,,,,,,,,,,,
Yes,77,94,66,59,97,83,0,99,65,92,43
No,22,6,32,41,3,17,100,1,35,8,43
Don't know,0,0,0,0,0,0,0,0,0,0,14
Prefer not to answer,0,0,1,0,0,0,0,0,0,0,0
Do you face any challenges accessing health care when you need it?,,,,,,,,,,,
No,80,94,59,66,97,78,100,86,71,84,75
Yes,18,6,39,31,3,22,0,13,29,13,10
Don't know,2,0,1,2,0,0,0,1,0,2,13
Prefer not to answer,0,0,1,1,0,0,0,0,0,0,2
what are the main reasons for you to have limited or no access to healthcare?,,,,,,,,,,,
1. Health facilities have been damaged or destroyed,2,9,3,4,0,0,,0,4,0,0
2. Distance to health facilities is too far,22,18,21,11,38,2,,36,14,41,81
3. Route to health facilities is unsafe ,8,0,11,0,0,0,,5,22,14,0
4. Presence of explosive hazards,0,0,0,0,0,0,,0,0,0,0
5. No available health facilities that can accept new patients,2,0,1,2,0,5,,0,2,3,0
6. No/lack of money to pay for care,35,45,47,54,0,36,,27,16,17,19
7. Lack of means of transport to get to the healthcare facilities,10,27,7,17,0,5,,14,8,0,19
8. Lack of medical staff in general,15,0,5,2,0,38,,32,10,38,6
9. Lack of female medical staff in particular,2,0,1,0,0,5,,5,0,0,6
10. Lack of private room(s) for receiving confidential care,2,0,1,0,0,10,,5,2,0,0
11. Lack of medicines,12,0,10,2,62,43,,5,0,10,0
12. Lack of medical supplies,6,0,1,2,25,14,,14,4,7,0
13. Lack of documentation,12,0,12,13,12,14,,14,12,14,6
14. Price barriers to access medical aid,19,27,27,19,38,33,,14,4,10,0
15. Linguistic barriers,4,0,3,2,0,5,,23,2,7,0
16. No available health facilities that accept refugees/migrants,13,0,22,15,0,14,,0,14,10,0
17. Did not know where to go,4,0,3,2,0,12,,0,6,0,0
"18. For females, denial of permission from family members to visit health facility",0,0,0,0,0,0,,0,0,0,0
"19. For females, absence of male companion to accompany during visit to health facility",1,0,0,4,0,0,,0,0,0,0
20. Afraid to become known as a migrant,8,0,5,6,0,14,,9,8,21,0
Other (please specify),0,0,0,0,0,0,,0,0,0,0
Don't know,1,0,0,6,0,0,,0,2,0,0
Prefer not to answer,1,0,1,0,0,0,,0,2,0,6
What do you do when you do not have enough money to pay for all the healthcare that is needed?,,,,,,,,,,,
"1. Revert to non-medical alternatives  (e.g., traditional medicine, home treatments)",55,0,39,52,,80,,83,100,40,67
2. Prioritize emergency cases,18,20,18,34,,0,,33,0,0,0
3. Get medical treatment from individuals without professional training,10,0,6,17,,7,,17,0,0,33
"4. Use expired medicine or recycle medical items (e.g., syringes",3,0,0,3,,7,,17,0,0,0
5. Travel abroad for required medical treatment,0,0,0,0,,0,,0,0,0,0
6. Travel to other manitkas for required medical treatment,3,0,3,0,,7,,0,0,0,33
7. Self-treatment,28,0,36,14,,60,,0,12,60,0
8. Do not seek medical help,10,0,15,10,,7,,17,0,0,0
"9. Reduce expenditures on other needs (education, NFIs,  food)",11,60,15,0,,7,,33,0,0,0
10. Visit health centre managed by NGO,6,0,9,3,,0,,33,0,0,0
11. Visit Libyan medical doctor outside medical facilities,1,0,0,0,,0,,0,0,0,33
"12. Visit foreign medical doctor outside medical facilities,",5,0,0,0,,33,,0,0,0,0
Other (please specify),3,40,0,0,,0,,17,0,0,0
Don't know,3,0,3,7,,0,,0,0,0,0
Prefer not to answer,1,0,3,0,,0,,0,0,0,0
How do you travel from your place of residence to the nearest health service provider?,,,,,,,,,,,
3. By car,31,37,37,72,18,20,100,23,5,29,43
1. Have not visited a local health service provider,31,38,10,9,58,45,0,11,26,27,41
4. By foot,15,9,22,13,20,5,0,11,5,35,5
7. Driven there by somebody I know,12,10,6,2,4,17,0,35,35,6,2
6. By public transport,8,6,22,0,0,11,0,17,26,0,1
5. By bicycle,1,1,2,0,0,2,0,2,3,0,2
2. No way to get there,1,1,1,2,0,0,0,0,0,0,2
Don't know,0,0,2,1,0,0,0,0,0,0,1
Prefer not to answer,0,0,0,0,0,0,0,0,0,0,3
Other (please specify),0,0,0,1,0,0,0,0,0,0,0
How much time does it take you to travel from your place of residence to the nearest health service provider using this form of travel?,,,,,,,,,,,
1. Less than 15 minutes,42,75,25,36,68,27,0,24,29,84,4
2. 15-29 minutes,39,23,46,50,30,44,100,53,67,13,11
3. 30-59 minutes,12,1,25,14,2,13,0,24,4,2,25
4. 1-2 hours,6,0,3,0,0,17,0,0,0,0,58
5. More than 2 hours,0,1,1,0,0,0,0,0,0,0,1
Prefer not to answer,0,0,0,0,0,0,0,0,0,1,0
Did you give live birth in Libya during the 2 last years?,,,,,,,,,,,
No,69,100,73,51,,50,100,90,,100,
Yes,30,0,25,47,,50,0,10,,0,
Don't know,1,0,2,2,,0,0,0,,0,
Who assisted in the delivery?,,,,,,,,,,,
No one                                          ,0,,0,0,,0,,0,,,
1. Obstetrician,68,,62,73,,0,,100,,,
2. General practitioner,2,,0,0,,100,,0,,,
3. Certified midwife          ,10,,12,5,,0,,100,,,
4. Uncertified midwife         ,8,,6,9,,0,,0,,,
5. Nurse                                  ,10,,12,9,,0,,0,,,
6. Relatives / Friends ,8,,12,5,,0,,0,,,
Other (please specify),0,,0,0,,0,,0,,,
Don't know,0,,0,0,,0,,0,,,
Prefer not to answer,0,,0,0,,0,,0,,,
Do you suffer from any chronic disease?,,,,,,,,,,,
No,89,87,78,81,93,96,100,75,93,96,93
Yes,10,12,21,16,7,4,0,24,7,4,1
Don't know,1,0,1,2,0,0,0,1,0,0,4
Prefer not to answer,0,1,0,1,0,0,0,0,0,0,2
Which diseases do you suffer from? ,,,,,,,,,,,
1. Blood pressure ,31,29,38,34,53,25,,28,9,0,50
2. Heart disease,10,12,21,7,18,0,,5,0,0,0
3. Diabetes,30,29,49,28,35,25,,18,18,38,0
4. Asthma,11,8,5,7,0,0,,32,9,0,0
5. Joint pain (arthritis),25,12,18,34,29,38,,22,36,38,50
6. Chronic back pain (spinal cord),7,0,15,10,0,12,,2,9,12,0
7. Cataract ,0,0,0,0,0,0,,0,0,0,0
8. Stomach ulcers,10,4,5,10,0,0,,18,18,25,0
9. Kidney failure,1,0,0,0,6,0,,0,0,0,0
10. Epilepsy,1,4,0,0,0,0,,0,0,0,0
Other (please specify),5,0,8,17,6,0,,0,0,0,0
Don't know,0,0,0,0,0,0,,0,0,0,0
Prefer not to answer,0,0,0,0,0,0,,0,0,0,0
Do you have adequate access to the needed health care services to treat this condition?,,,,,,,,,,,
"1. Yes, adequate access",50,79,40,21,47,25,,78,18,62,50
"2. Limited access (only sometimes, limited quantity, etc.)",38,17,50,45,24,75,,22,73,38,50
3. No access,11,4,8,31,29,0,,0,9,0,0
Don't know,1,0,2,3,0,0,,0,0,0,0
What are the services that are not available (when needed or prescribed)?,,,,,,,,,,,
1. No access to the health facility,20,20,30,32,0,0,,0,22,0,0
2. Lack of availability of specialized consultation,46,60,48,18,67,100,,78,0,67,100
3. Lack of availability of general practitioners for the follow-up,28,20,13,18,22,67,,22,78,0,100
"4. Lack of availability of radiologic tests (X-ray, ultrasound, scan, MRI, etc.)",14,0,17,0,0,50,,44,0,0,100
"5. Lack of availability of biologic tests (blood test, urinary test, etc.)",2,0,0,0,0,0,,22,0,0,0
"6. Lack of availability of specialized medical investigation (fibroscopy, angiography, etc.)",7,20,9,0,0,17,,22,0,0,0
7. Lack of availability of medicines ,32,0,35,23,89,33,,33,0,67,0
Other (please specify),9,0,0,27,22,0,,0,0,0,0
Don't know,3,0,4,9,0,0,,0,0,0,0
Prefer not to answer,1,0,4,0,0,0,,0,0,0,0
"Within the past 30 days, have you experienced any of the following? (select all that apply)",,,,,,,,,,,
I did not experience any of the below ,36,61,24,44,42,40,50,33,33,11,30
1. Feeling little interest or pleasure doing things that you normally like,16,25,12,23,4,10,0,17,7,23,21
"2. Feeling down, depressed or hopeless",22,18,44,24,30,13,50,22,14,26,5
3. Feeling tired or having little energy for no good reason,34,21,33,37,40,20,50,32,17,44,58
"4. Trouble falling asleep, staying asleep or sleeping too much",15,6,37,15,6,16,50,22,12,10,14
5. Felt so nervous that nothing could calm you down,8,3,23,12,0,6,50,2,8,1,18
6. Felt so afraid that nothing could calm you down,5,1,20,8,0,1,50,5,7,3,7
7. Felt so angry that you felt out of control,5,1,11,3,0,11,50,11,6,1,4
Prefer not to answer,1,0,2,2,0,3,0,0,1,0,4
"Do you have physical or cognitive difficulties (for example: mobility, hearing, sight, communicating) which impact your ability to carry out day-to-day activities such as working, studying, walking, getting dressed, and remembering things?",,,,,,,,,,,
No,96,98,90,94,100,99,50,94,93,97,92
Yes,3,2,9,6,0,1,50,6,2,1,1
Prefer not to answer,1,0,0,0,0,0,0,0,4,0,5
Don't know,1,1,1,0,0,0,0,0,1,1,2
Do you fall into any of the following categories:,,,,,,,,,,,
2. Minor difficulties carrying out daily activities but does not need assistance or attention,39,33,38,45,,0,0,50,33,33,50
1. No difficulty carrying out daily activities,29,33,6,27,,50,0,40,67,67,50
"4. A lot of difficulty carrying out daily activiites and needs quite a bit of assistance and atention (e.g., for 3-6 hours/day)",12,33,25,9,,0,0,0,0,0,0
"3. Some difficulties carrying out daily activities and needs some assistance and attention (e.g., for 1-2 hours/day)",12,0,12,9,,50,100,10,0,0,0
5. Cannot carry out daily activities independently and needs permanent assistance and attention,8,0,19,9,,0,0,0,0,0,0
What was the cause of the disability?,,,,,,,,,,,
"1. Congenital origin (i.e., present since birth)",41,100,38,9,,100,100,60,67,0,0
2. Illness,24,0,31,45,,0,0,0,0,67,0
5. Road accident,12,0,12,9,,0,0,20,33,0,0
6. Domestic accident,8,0,6,9,,0,0,10,0,33,0
Prefer not to answer,6,0,6,9,,0,0,0,0,0,50
4. Shot from war weapon,6,0,6,9,,0,0,10,0,0,0
"3. Mine, unexploded ordnance (UXO), or improvised explosive device (IED)",2,0,0,0,,0,0,0,0,0,50
"7. Pregnancy complications (i.e., complications to the mother)",2,0,0,9,,0,0,0,0,0,0
Do you have adequate access to the health care that you need to treat or manage your condition?,,,,,,,,,,,
"1. Yes, adequate access",45,100,31,9,,0,0,70,100,100,50
"2. Limited access (only sometimes, limited quantity, etc.)",33,0,44,36,,100,0,30,0,0,50
3. No access,22,0,25,55,,0,100,0,0,0,0
What are the services that are not available (when needed or prescribed)?,,,,,,,,,,,
1. Lack of physical therapy and/or rehabilitation,38,,33,30,,50,100,67,,,0
2. Lack of wheelchair,17,,8,10,,50,0,33,,,100
"3. Lack of other assistive devices (e.g., prosthetic limbs or hearing aids)",24,,17,20,,50,0,67,,,0
4. Lack of psychosocial support,34,,25,30,,0,100,100,,,0
Other (please specify),0,,0,0,,0,0,0,,,0
Don't know,21,,8,50,,0,0,0,,,0
Prefer not to answer,3,,8,0,,0,0,0,,,0
1. Boys (6-10),,,,,,,,,,,
Average,0.218241042,0.5,0.206896552,0.186440678,0.1,0.230769231,0,0.287234043,0,0.454545455,0.04
2. Boys (11-17),,,,,,,,,,,
Average,0.234527687,0.5,0.206896552,0.254237288,0,0.153846154,0,0.287234043,0.214285714,0.181818182,0.2
3. Girls (6-10),,,,,,,,,,,
Average,0.166123779,0.25,0.25862069,0.152542373,0.2,0.384615385,0,0.117021277,0,0.363636364,0
4. Girls (11-17) ,,,,,,,,,,,
Average,0.175895765,0.25,0.24137931,0.254237288,0.1,0.153846154,0,0.159574468,0,0.090909091,0.08
children_enrolled_calc,,,,,,,,,,,
Average,0.794788274,1.5,0.913793103,0.847457627,0.4,0.923076923,0,0.85106383,0.214285714,1.090909091,0.32
1. Boys (6-10),,,,,,,,,,,
Average,0.185667752,0.166666667,0.172413793,0.13559322,0.1,0.230769231,0,0.29787234,0.071428571,0.272727273,0
2. Boys (11-17),,,,,,,,,,,
Average,0.182410423,0.083333333,0.206896552,0.169491525,0,0.153846154,0,0.223404255,0.071428571,0.363636364,0.2
3. Girls (6-10),,,,,,,,,,,
Average,0.13029316,0,0.172413793,0.152542373,0.2,0.384615385,0,0.106382979,0,0.181818182,0
4. Girls (11-17) ,,,,,,,,,,,
Average,0.146579805,0.25,0.172413793,0.220338983,0.1,0.153846154,0,0.127659574,0,0.090909091,0.08
children_attending_calc,,,,,,,,,,,
Average,0.64495114,0.5,0.724137931,0.677966102,0.4,0.923076923,0,0.755319149,0.142857143,0.909090909,0.28
notattending_notenrolled_school_male,,,,,,,,,,,
Average,0.951140065,0.916666667,0.793103448,0.881355932,1.1,0.384615385,0,1.010638298,1.142857143,0.545454545,1.56
notattending_notenrolled_school_female,,,,,,,,,,,
Average,0.589576547,0.416666667,0.637931034,0.949152542,0.6,0.153846154,3,0.372340426,0,0.454545455,1.04
1. Less than 1 month,,,,,,,,,,,
Average,0,0,0,0,0,0,,0,0,0,0
2. 1-3 months,,,,,,,,,,,
Average,0.005681818,0,0,0.03125,0,0,,0,0,0,0
3. 4-6 months,,,,,,,,,,,
Average,0.005681818,0,0,0,0,0,,0.017241379,0,0,0
4. More than 6 months,,,,,,,,,,,
Average,0.005681818,0,0.034482759,0,0,0,,0,0,0,0
5. Entire 2018-2019 school year ,,,,,,,,,,,
Average,0.164772727,0,0.482758621,0.1875,0,0.6,,0.051724138,0.25,0,0
Never attended school,,,,,,,,,,,
Average,0.525641026,0.571428571,0.75,0.166666667,0,0,,0.781818182,0.75,2,0.1875
notattending_notenrolled_school_male_calc,,,,,,,,,,,
Average,0.647727273,0.571428571,0.931034483,0.375,0,0.6,,0.810344828,1,2,0.1875
1. Less than 1 month,,,,,,,,,,,
Average,0.024390244,0,0.041666667,0.058823529,0,0,0,0,,0,0
2. 1-3 months,,,,,,,,,,,
Average,0,0,0,0,0,0,0,0,,0,0
3. 4-6 months,,,,,,,,,,,
Average,0,0,0,0,0,0,0,0,,0,0
4. More than 6 months,,,,,,,,,,,
Average,0.008130081,0,0.041666667,0,0,0,0,0,,0,0
5. Entire 2018-2019 school year ,,,,,,,,,,,
Average,0.12195122,0,0.458333333,0.029411765,0,1,0,0.034482759,,0,0
Never attended school,,,,,,,,,,,
Average,0.288461538,0.2,0.333333333,0.25,0,0,0,0.5,,0.75,0.071428571
notattending_notenrolled_school_female_calc,,,,,,,,,,,
Average,0.398373984,0.2,0.708333333,0.323529412,0,1,0,0.482758621,,0.75,0.071428571
What type of education do the children in your household have access to in this baladiya?,,,,,,,,,,,
1. No access to formal education,31,8,22,29,70,15,0,28,43,0,60
2. Public school,35,75,36,32,25,77,100,30,21,73,16
3. Private school,36,75,22,27,5,15,100,66,14,55,0
4. Koranic school,30,67,12,20,0,8,100,57,7,36,16
Other (please specify),3,0,7,2,0,0,0,2,7,0,0
Don't know,5,0,9,10,0,0,0,0,7,0,12
Prefer not to answer,1,0,2,0,0,0,0,0,0,0,12
"Of the school-aged children in your household who are neither enrolled in school nor attending school, why are they not attending school?",,,,,,,,,,,
"1. Problems with school infrastructure, or school is used for other purpose",27,11,8,9,0,0,0,60,17,0,45
"2. Problems with means, transport, materials, or food",28,11,18,27,0,40,100,46,0,0,32
"3. Problems with quality, curriculum, or capacity",30,0,10,2,0,20,0,79,25,0,27
4. Problems with safety and security,33,0,46,11,0,20,100,60,17,0,27
"5. Problems with child's health or behavior, lack of documentation, child marriage or pregnancy, discrimination, or the need for the child to work at home or for a salary",38,0,38,14,0,40,0,73,25,80,23
Other (please specify),17,67,8,9,100,60,0,5,0,0,14
Don't know,14,11,18,34,0,0,0,2,17,0,14
Prefer not to answer,8,0,8,14,0,0,0,0,8,20,27
What are the specific problems around school infrastructure that have contributed to the school-aged children not attending school?,,,,,,,,,,,
"1. Lack of basic amenities at school (potable water, heat, electricity)",79,100,33,50,,,,92,0,,70
2. Lack of infrastructure (school buildings or classrooms) to accommodate all children,59,0,0,50,,,,79,0,,20
3. Lack of latrines separated by sex,24,0,33,0,,,,32,0,,10
4. Local schools overcrowded/lack of space in local schools,36,0,0,0,,,,53,0,,10
5. School is used for other purpose,59,0,0,0,,,,84,100,,0
Other (please specify),0,0,0,0,,,,0,0,,0
Don't know,5,0,33,50,,,,0,0,,0
Prefer not to answer,2,0,0,0,,,,0,0,,10
"What are the specific problems around means, transport, materials, or food that have contributed to the school-aged children not attending school?",,,,,,,,,,,
1. Distance or transport constraint,73,100,57,67,,50,100,86,,,43
2. School fees or costs,68,0,71,67,,100,0,83,,,14
3. Lack of teaching and learning materials or supplies,32,0,43,17,,50,0,41,,,14
4. Lack of food,14,0,0,0,,50,0,21,,,14
Other (please specify),0,0,0,0,,0,0,0,,,0
Don't know,2,0,0,8,,0,0,0,,,0
Prefer not to answer,2,0,0,0,,0,0,0,,,14
"What are the specific problems around quality, curriculum, or capacity that have contributed to the school-aged children not attending school?",,,,,,,,,,,
1. Language,80,,50,0,,100,,96,33,,0
"2. One or more school level is not available (pre-primary, primary, secondary, tertiary).",58,,0,0,,0,,74,0,,17
3. Lack of teachers,6,,25,0,,0,,4,0,,17
4. Poor quality of teaching,23,,50,0,,0,,20,0,,50
5. Education is not seen as useful,62,,50,0,,0,,74,33,,0
6. What is taught is not culturally or age appropriate,46,,50,0,,0,,54,0,,17
Other (please specify),0,,0,0,,0,,0,0,,0
Don't know,3,,0,100,,0,,0,33,,0
Prefer not to answer,0,,0,0,,0,,0,0,,0
What are the specific problems around safety and security that have contributed to the school-aged children not attending school?,,,,,,,,,,,
1. Insecurity on the way to school or in the area (real or perceived),66,,67,20,,0,0,76,0,,83
2. The child joined an armed group or military.,6,,0,0,,0,0,11,0,,0
"3. Emotional or physical abuse by teachers (corporal punishment, humiliation, corporal punishment etc.)",30,,17,20,,0,0,45,0,,0
"4. Emotional or physical abuse by peers (bullying, fighting, discrimination, etc)",55,,11,0,,0,100,92,50,,0
5. Displaced by conflict,8,,17,0,,0,0,8,0,,0
6. Displaced by natural disaster,0,,0,0,,0,0,0,0,,0
7. Abduction/detention,31,,28,0,,0,0,45,0,,0
Other (please specify),0,,0,0,,0,0,0,0,,0
Don't know,6,,0,40,,100,0,0,50,,0
Prefer not to answer,3,,0,20,,0,0,0,0,,17
"What are the specific problems around child vulnerabilities (health/behavior, documentation, etc.) that have contributed to the school-aged children not attending school?",,,,,,,,,,,
1. The child has a prolonged illness.,0,,0,0,,0,,0,0,0,0
2. The child has a disability (access issue).,1,,7,0,,0,,0,0,0,0
3. The child is on the move.,43,,0,50,,0,,65,33,0,20
4. Lack of documentation,90,,80,83,,50,,100,67,100,60
5. Child marriage,0,,0,0,,0,,0,0,0,0
"6. Social discrimination (due to ethnicity, religion, poverty, gender, health, disability, or other)",60,,27,33,,50,,87,33,25,0
7. Suspended or expelled for performance or behaviour issues,21,,0,0,,0,,37,0,0,0
"8. The child is pregnant, lactating, or has a child of her own.",1,,0,0,,0,,2,0,0,0
9. The child is busy with chores.,38,,7,0,,0,,65,0,0,0
10. The child works.,11,,7,17,,0,,11,67,0,0
Other (please specify),0,,0,0,,0,,0,0,0,0
Don't know,0,,0,0,,0,,0,0,0,0
Prefer not to answer,1,,0,0,,0,,0,0,0,20
Would you like your children in your household that are not attending school to access education while in Libya?,,,,,,,,,,,
Yes,60,22,77,68,29,80,100,52,100,80,32
No,34,33,15,27,71,20,0,48,0,0,50
Prefer not to answer,7,44,8,5,0,0,0,0,0,20,18
Have any children in your household ever faced any of these issues when attending school in Libya?,,,,,,,,,,,
1. No issues faced by children in the household when attending school,47,90,52,64,67,12,,32,100,0,25
2. Lack of functioning latrines,17,10,26,0,17,25,,27,0,0,0
3. Lack of separate and safe toilets for boys and girls,11,0,11,0,0,50,,14,0,29,0
4. Lack of clean water,14,0,7,0,17,12,,32,0,29,0
5. Lack of accessibility for students living with disabilities,2,0,4,0,0,0,,3,0,0,0
6. Overcrowding,11,0,4,8,17,38,,16,0,0,25
7. Poor quality of teachers,13,0,4,8,17,12,,16,0,71,0
8. Violence from teachers (excluding sexual violence or harassment),7,0,7,4,0,0,,16,0,0,0
9. Bullying/violence from other students (excluding sexual violence or harassment),19,0,15,4,0,75,,32,0,0,25
10. Sexual violence or harassment,1,0,0,0,0,0,,3,0,0,0
11. Discrimination,20,0,15,24,0,12,,38,0,14,0
12. Attempted recruitment by armed actors,0,0,0,0,0,0,,0,0,0,0
"13. School building conversion into other purposes (displaced accommodation, military barracks, etc.)",4,0,4,0,0,0,,11,0,0,0
Other (please specify),1,0,0,0,17,0,,0,0,0,0
Don't know,2,0,0,8,0,0,,0,0,0,25
